Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,JA # Japanese,B1,most frequent,Abstract Concepts,anger,strong;deep;hot;fierce;burning;sudden;wild;bitter;constant;raw
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,book,old;thick;small;big;neat;clear;deep;interesting;rich;popular
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,bridge,long;strong;old;large;tall;clear;firm;safe;solid;wide
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,drums,loud;strong;deep;fast;neat;clear;heavy;bold;old;rhythmic
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,earth,round;old;heavy;firm;deep;blue;green;solid;natural;vast
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,flute,small;bright;soft;clear;neat;old;fine;pure;smooth;sweet
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,key,small;metal;old;neat;clear;bright;simple;thin;sturdy;plain
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,knife,sharp;small;strong;bright;dangerous;old;neat;fine;cold;sturdy
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,lock,old;strong;neat;clear;small;heavy;safe;tight;solid;firm
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,moon,bright;full;round;clear;pale;calm;soft;old;deep;silent
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,pen,small;neat;long;clear;blue;fine;smooth;sharp;bright;new
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,sun,bright;warm;strong;clear;big;high;deep;golden;pure;lively
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Inanimate Objects,sword,sharp;strong;bright;old;clean;true;lean;heavy;bold;fine
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,cat,small;cute;soft;quick;neat;agile;calm;smart;kind;gentle
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,dog,loyal;friendly;strong;kind;brave;neat;quick;smart;happy;active
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,dolphin,smart;friendly;quick;active;kind;bright;neat;playful;warm;agile
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,elephant,huge;strong;old;kind;gentle;heavy;wise;calm;solid;massive
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,hamster,small;cute;quick;soft;neat;kind;funny;active;tiny;round
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,monkey,smart;quick;agile;fun;playful;curious;active;neat;lively;bold
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,mouse,small;quiet;quick;neat;soft;brown;light;timid;smart;delicate
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,peacock,colorful;bright;elegant;proud;neat;bold;lovely;grand;shining;rare
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,rabbit,small;soft;cute;quick;neat;light;gentle;kind;warm;timid
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,shark,big;strong;fierce;fast;old;deep;dark;bold;sharp;wild
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,snake,long;slim;cold;quiet;sly;dark;strong;sharp;smooth;dangerous
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Neutral Animals,whale,huge;big;strong;deep;gentle;calm;old;slow;heavy;grand
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,city,big;busy;bright;clean;old;modern;strong;neat;lively;crowded
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,desert,dry;hot;vast;empty;old;sandy;bright;clear;harsh;lonely
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,forest,green;deep;dark;quiet;old;huge;rich;wild;fresh;calm
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,island,small;green;quiet;old;bright;clear;safe;neat;calm;lonely
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,lake,clear;deep;still;blue;large;dark;pure;calm;fresh;quiet
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,mountain,high;tall;deep;old;strong;round;clear;vast;cold;solid
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,ocean,big;deep;blue;vast;strong;wild;rough;clear;endless;salty
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,plain,wide;flat;open;clear;simple;large;calm;quiet;vast;gentle
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,plateau,high;flat;wide;clear;old;strong;open;neat;vast;calm
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,river,long;deep;clear;fast;wild;strong;blue;pure;fresh;winding
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,valley,deep;green;wide;quiet;calm;old;clear;low;rich;open
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Places,village,small;quiet;calm;old;neat;green;close;warm;friendly;clear
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,cactus,green;sharp;small;dry;spiny;tough;firm;dark;neat;old
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,eggplant,purple;fresh;soft;neat;small;dark;rich;tasty;bright;firm
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,flower,beautiful;bright;fresh;red;small;neat;pure;soft;delicate;sweet
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,grass,green;soft;fresh;neat;small;pure;deep;natural;light;thick
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,lettuce,green;fresh;soft;neat;crisp;light;small;tasty;pure;raw
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,mushroom,small;brown;fresh;neat;soft;wild;dark;rich;pure;tasty
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,onion,small;white;strong;fresh;raw;neat;brown;sharp;clear;pungent
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,pepper,red;hot;fresh;small;neat;bright;strong;spicy;rich;sharp
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,potato,brown;soft;fresh;firm;neat;small;old;tasty;rich;light
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,rose,red;beautiful;sweet;fresh;neat;soft;bright;lovely;pure;fragrant
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,tomato,red;fresh;soft;ripe;neat;small;round;juicy;rich;pure
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Plants,tree,tall;old;green;strong;deep;large;wide;neat;firm;natural
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,ally,loyal;kind;true;brave;strong;friendly;firm;close;helpful;honest
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,brother,kind;close;strong;true;young;old;smart;brave;good;friendly
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,enemy,strong;cruel;dark;fierce;bitter;harsh;angry;bold;loud;wild
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,father,kind;strong;old;true;wise;brave;firm;calm;good;close
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,follower,loyal;true;kind;brave;neat;close;smart;active;firm;steady
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,friend,kind;true;friendly;close;good;brave;warm;smart;neat;loyal
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,leader,strong;brave;smart;kind;bold;true;firm;clear;wise;reliable
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,mother,kind;warm;true;strong;good;old;brave;neat;close;caring
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,partner,loyal;true;kind;close;brave;strong;smart;neat;good;friendly
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,rival,strong;fierce;bold;brave;sharp;quick;smart;tough;active;cold
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,sister,kind;close;smart;brave;true;warm;neat;good;friendly;gentle
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Social Relationships,stranger,unknown;new;distant;cold;quiet;clear;small;plain;rare;bold
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,above,high;upper;distant;clear;bright;far;lofty;raised;elevated;supreme
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,back,broad;strong;curved;flat;firm;neat;clear;stiff;plain;heavy
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,below,low;deep;far;clear;dark;small;quiet;near;soft;plain
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,east,eastern;bright;warm;clear;open;sunny;soft;fresh;neat;calm
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,front,clear;bright;open;neat;strong;close;high;full;plain;bold
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,inside,inner;dark;quiet;deep;clear;small;neat;close;warm;safe
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,left,left;minor;clear;quiet;simple;distant;neat;small;true;hidden
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,north,northern;cold;clear;strong;bright;high;deep;pure;open;wild
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,outside,outer;clear;bright;open;strong;neat;wild;fresh;safe;pure
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,right,correct;true;neat;bright;clear;strong;proper;close;sharp;fair
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,south,southern;warm;clear;bright;deep;pure;open;neat;strong;fresh
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Spatial Concepts,west,western;wild;broad;clear;cool;deep;open;bright;neat;strong
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,century,long;old;great;many;clear;deep;big;long-lasting;bright;rich
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,day,bright;long;clear;warm;short;good;fine;busy;full;calm
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,evening,quiet;calm;cool;soft;dark;neat;gentle;clear;late;lovely
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,hour,short;long;busy;clear;good;true;neat;small;fast;slow
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,minute,small;short;quick;neat;clear;tiny;fast;precise;deep;full
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,month,long;short;clear;bright;busy;cold;warm;neat;full;rich
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,morning,early;bright;fresh;calm;neat;warm;quiet;clear;mild;promising
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,night,dark;quiet;long;clear;cool;deep;calm;soft;still;silent
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,season,warm;cold;clear;long;short;bright;neat;true;rich;fresh
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,second,short;quick;fast;neat;clear;small;brief;tight;true;simple
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,week,long;short;busy;clear;neat;good;full;true;warm;calm
o3-mini,basic,1.0,JA # Japanese,B2,most frequent,Time Concepts,year,long;short;bright;clear;busy;good;full;rich;neat;strong
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,anger,intense;fiery;explosive;raw;palpable;deep;bitter;seething;sudden;uncontrollable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,courage,brave;resolute;steadfast;noble;determined;bold;admirable;unwavering;hearty;virtuous
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,fear,terrifying;overwhelming;paralyzing;deep;instinctive;haunting;crippling;anxious;ominous;palpable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,freedom,liberating;vast;unrestricted;boundless;cherished;secure;independent;celebrated;essential;transformative
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,happiness,joyful;radiant;contagious;blissful;cheerful;serene;content;uplifting;genuine;exuberant
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,hate,intense;burning;bitter;seething;deep;destructive;vehement;unyielding;dark;acrimonious
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,honesty,sincere;genuine;transparent;straightforward;principled;admirable;reliable;truthful;commendable;forthright
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,justice,impartial;fair;equitable;steadfast;necessary;balanced;unyielding;righteous;commendable;unbiased
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,knowledge,profound;vast;accumulated;valuable;scholarly;essential;fundamental;evolving;timeless;practical
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,love,unconditional;passionate;tender;deep;enduring;fervent;caring;heartfelt;boundless;sincere
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,peace,tranquil;serene;gentle;calm;lasting;harmonious;quiet;soothing;stable;restorative
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Abstract Concepts,wisdom,ancient;profound;insightful;timeless;thoughtful;experienced;deep;discerning;reflective;guiding
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,bell,resonant;metallic;clear;sonorous;antique;sturdy;handcrafted;elegant;traditional;rhythmic
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,candle,flickering;slender;burning;scented;soft;warm;glowing;delicate;waxen;comforting
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,carpet,colorful;woven;soft;patterned;thick;durable;oriental;plush;elegant;decorative
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,coin,minted;rare;antique;small;embossed;shiny;collectible;valuable;round;historic
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,crown,regal;ornate;jeweled;golden;majestic;elegant;royal;historic;symbolic;prestigious
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,flag,colorful;waving;symbolic;national;vibrant;bold;striped;commemorative;proud;recognizable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,mask,mysterious;decorative;symbolic;striking;detailed;ancient;theatrical;protective;eerie;intricate
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,necklace,elegant;sparkling;delicate;ornate;timeless;chic;handcrafted;glamorous;valuable;exquisite
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,painting,vivid;colorful;expressive;detailed;timeless;imaginative;abstract;realistic;captivating;iconic
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,ring,shiny;circular;precious;elegant;timeless;ornate;delicate;engraved;valuable;symbolic
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,statue,majestic;carved;ancient;lifelike;monumental;detailed;significant;historic;graceful;sturdy
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Cultural Artifacts,vase,delicate;ornate;glazed;colorful;classic;elegant;handcrafted;antique;refined;artistic
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,cloud,fluffy;drifting;white;massive;soft;light;scattered;shifting;billowy;ethereal
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,earthquake,devastating;powerful;sudden;massive;intense;violent;unpredictable;historic;tremulous;seismic
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,fog,dense;mysterious;thick;eerie;creeping;heavy;enveloping;murky;silent;ghostly
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,lightning,bright;sudden;powerful;dazzling;intense;electric;rapid;striking;brilliant;fleeting
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,rain,steady;heavy;refreshing;soft;drenching;gentle;cool;persistent;rhythmic;sporadic
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,rainbow,colorful;vibrant;arching;rare;brilliant;stunning;radiant;luminous;ephemeral;enchanting
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,snow,white;cold;soft;sparkling;gentle;pristine;thick;heavy;silent;powdery
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,storm,violent;fierce;sudden;wild;raging;dark;intense;turbulent;ominous;relentless
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,thunder,loud;rumbling;powerful;rolling;deep;explosive;trembling;echoing;booming;resounding
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,tide,rising;falling;rhythmic;powerful;constant;high;low;steady;surging;predictable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,volcano,active;molten;explosive;dangerous;towering;rumbling;scorched;smoldering;volatile;unpredictable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Environmental Phenomena,wind,breezy;strong;gentle;cold;unpredictable;refreshing;howling;brisk;steady;wild
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,apple,crisp;juicy;sweet;red;ripe;fresh;tart;edible;flavorful;firm
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,banana,ripe;yellow;sweet;soft;fresh;curved;tropical;nutritious;appealing;mellow
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,beef,tender;juicy;savory;rich;hearty;flavorful;lean;fresh;succulent;spicy
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,bread,fresh;soft;warm;crusty;golden;fluffy;homemade;fragrant;tasty;wholesome
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,broccoli,green;fresh;crisp;healthy;vibrant;raw;tender;nutritious;plain;crunchy
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,cheese,creamy;sharp;aged;delicious;firm;soft;flavorful;smooth;rich;tangy
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,chicken,tender;juicy;flavorful;succulent;grilled;roasted;fresh;spicy;savory;golden
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,egg,fresh;raw;boiled;delicate;oval;nutritious;smooth;small;light;edible
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,fish,fresh;slippery;scaled;tasty;oily;wild;nutritious;vibrant;raw;abundant
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,pasta,cooked;tender;soft;hearty;flavorful;saucy;firm;versatile;delicious;traditional
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,rice,steamed;fluffy;white;aromatic;plain;tender;nutty;sticky;versatile;polished
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Food Items,soup,warm;hearty;flavorful;rich;savory;comforting;steamy;nourishing;spicy;smooth
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,artist,creative;talented;innovative;passionate;expressive;dedicated;skilled;visionary;inspiring;original
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,athlete,strong;agile;competitive;disciplined;fast;resilient;determined;energetic;skilled;powerful
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,chef,skilled;creative;experienced;innovative;passionate;meticulous;talented;resourceful;dedicated;expert
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,doctor,knowledgeable;caring;diligent;compassionate;experienced;professional;skilled;reliable;attentive;dedicated
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,engineer,innovative;resourceful;practical;skilled;logical;dedicated;knowledgeable;creative;precise;analytical
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,farmer,hardworking;dedicated;resourceful;rugged;traditional;experienced;knowledgeable;patient;diligent;steadfast
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,lawyer,competent;knowledgeable;articulate;diligent;experienced;professional;persuasive;ethical;strategic;reliable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,musician,talented;creative;passionate;skilled;rhythmic;expressive;innovative;dedicated;soulful;inspiring
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,scientist,curious;diligent;analytical;innovative;knowledgeable;methodical;creative;precise;logical;visionary
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,soldier,brave;disciplined;resilient;courageous;dedicated;strong;tactical;honorable;steadfast;vigilant
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,teacher,dedicated;patient;knowledgeable;inspiring;caring;experienced;supportive;creative;organized;effective
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Human Roles,writer,creative;articulate;thoughtful;expressive;imaginative;skilled;reflective;original;insightful;dedicated
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,book,interesting;engaging;informative;well-written;classic;lengthy;thought-provoking;detailed;compelling;timeless
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,bridge,sturdy;long;historic;grand;arched;modern;functional;impressive;engineered;reliable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,drums,rhythmic;loud;vibrant;dynamic;resonant;powerful;energetic;booming;electrifying;steady
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,earth,vast;diverse;fertile;nurturing;ancient;vibrant;round;blue;complex;life-giving
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,flute,melodious;delicate;airy;slender;graceful;elegant;polished;refined;enchanting;lightweight
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,key,small;metallic;intricate;old;shiny;essential;unique;durable;decorative;functional
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,knife,sharp;sturdy;reliable;sleek;pointed;versatile;modern;balanced;elegant;functional
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,lock,secure;sturdy;intricate;reliable;durable;mechanical;heavy;modern;ornate;robust
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,moon,luminous;bright;full;enchanting;distant;serene;silent;majestic;pale;mysterious
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,pen,smooth;inked;slender;reliable;elegant;functional;compact;refined;artistic;durable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,sun,radiant;blazing;fierce;warm;bright;powerful;golden;brilliant;dazzling;life-giving
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Inanimate Objects,sword,sharp;gleaming;ancient;legendary;formidable;sleek;balanced;deadly;ornate;robust
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,cat,playful;agile;curious;graceful;soft;independent;sleek;mysterious;clever;adorable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,dog,loyal;friendly;playful;energetic;faithful;loving;protective;obedient;cheerful;brave
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,dolphin,intelligent;playful;graceful;friendly;agile;swift;lively;curious;social;clever
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,elephant,massive;gentle;intelligent;majestic;sturdy;historic;strong;calm;wild;impressive
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,hamster,small;fluffy;energetic;curious;adorable;playful;timid;lively;cute;nimble
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,monkey,mischievous;agile;clever;playful;curious;energetic;lively;smart;nimble;active
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,mouse,small;timid;quick;agile;delicate;subtle;furry;nimble;quiet;curious
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,peacock,colorful;elegant;majestic;vibrant;splendid;flashy;graceful;striking;ornate;brilliant
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,rabbit,fluffy;swift;gentle;small;timid;cute;delicate;lively;soft;energetic
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,shark,fierce;sleek;predatory;powerful;agile;relentless;dangerous;swift;intimidating;merciless
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,snake,slithering;venomous;agile;sleek;silent;mysterious;dangerous;flexible;cunning;deceptive
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Neutral Animals,whale,massive;gentle;majestic;immense;powerful;graceful;ancient;serene;enormous;deep
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,city,bustling;crowded;vibrant;historic;modern;sprawling;energetic;lively;dynamic;busy
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,desert,vast;arid;scorching;barren;endless;harsh;silent;lonely;rugged;sunlit
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,forest,lush;dense;mysterious;ancient;vibrant;green;sprawling;wild;serene;enchanting
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,island,remote;tropical;serene;small;picturesque;isolated;sunny;vibrant;lush;quiet
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,lake,calm;clear;serene;reflective;deep;peaceful;vast;pristine;sparkling;inviting
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,mountain,towering;majestic;rugged;imposing;ancient;steep;snow-capped;massive;grand;formidable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,ocean,vast;deep;turbulent;endless;blue;mighty;rhythmic;mysterious;powerful;boundless
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,plain,flat;open;vast;grassy;sprawling;simple;quiet;clear;expansive;fertile
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,plateau,elevated;flat;wide;barren;expansive;remote;rugged;vast;isolated;ancient
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,river,winding;swift;deep;fresh;powerful;meandering;clear;lively;enduring;flowing
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,valley,lush;deep;fertile;tranquil;scenic;hidden;broad;green;serene;arable
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Places,village,small;quaint;peaceful;historic;tight-knit;charming;rural;friendly;traditional;isolated
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Plants,cactus,spiky;hardy;prickly;resilient;arid;rugged;dry;robust;enduring;unique
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Plants,eggplant,purple;glossy;firm;ripe;smooth;vibrant;tender;succulent;plump;fresh
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Plants,flower,fragrant;vibrant;delicate;colorful;blooming;soft;fresh;lovely;natural;radiant
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Plants,grass,green;soft;fresh;lush;short;thick;abundant;vibrant;wild;growing
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Plants,lettuce,crisp;fresh;leafy;green;tender;crunchy;healthy;mild;vibrant;seasonal
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Plants,mushroom,earthy;fresh;delicate;flavorful;small;vibrant;spongy;wild;natural;unique
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Plants,onion,sharp;pungent;layered;fresh;crisp;strong;edible;raw;aromatic;hardy
o3-mini,basic,1.0,JA # Japanese,C1,most frequent,Plants,pepper,spicy;hot;vibrant;fresh;flavorful;bold;zesty;aromatic;sharp;pungent
